முரண்பாடுகள் இன்றி	முரண்பாடுகளின்றி	morphology
சந்தேகம் இன்றி	சந்தேகமின்றி	morphology
தடை இன்றி	தடையின்றி	morphology
காரணம் இன்றி	காரணமின்றி	morphology
அனுமதி இன்றி	அனுமதியின்றி	morphology
ஆதாரம் இன்றி	ஆதாரமின்றி	morphology
சான்று இன்றி	சான்றின்றி	morphology
தாமதம் இன்றி	தாமதமின்றி	morphology
மாற்றம் இன்றி	மாற்றமின்றி	morphology
குறை இன்றி	குறையின்றி	morphology
இந்த சூழ்நிலையில்	இந்தச் சூழ்நிலையில்	morphology
இந்த சூழ்நிலை	இந்தச் சூழ்நிலை	morphology
இந்த சம்பவம்	இந்தச் சம்பவம்	morphology
இந்த சம்பவத்தில்	இந்தச் சம்பவத்தில்	morphology
இந்த சாட்சியம்	இந்தச் சாட்சியம்	morphology
இந்த சட்டம்	இந்தச் சட்டம்	morphology
இந்த செயல்	இந்தச் செயல்	morphology
இந்த காரணத்தால்	இந்தக் காரணத்தால்	morphology
இந்த கருத்து	இந்தக் கருத்து	morphology
இந்த கட்டத்தில்	இந்தக் கட்டத்தில்	morphology
இந்த குற்றம்	இந்தக் குற்றம்	morphology
இந்த தீர்ப்பு	இந்தத் தீர்ப்பு	morphology
இந்த தகவல்	இந்தத் தகவல்	morphology
இந்த தரப்பு	இந்தத் தரப்பு	morphology
இந்த பத்திரம்	இந்தப் பத்திரம்	morphology
இந்த பகுதி	இந்தப் பகுதி	morphology
இந்த புகார்	இந்தப் புகார்	morphology
அந்த சூழ்நிலையில்	அந்தச் சூழ்நிலையில்	morphology
அந்த சம்பவம்	அந்தச் சம்பவம்	morphology
அந்த காரணத்தால்	அந்தக் காரணத்தால்	morphology
அந்த தகவல்	அந்தத் தகவல்	morphology
அந்த புகார்	அந்தப் புகார்	morphology
எந்த சாட்சியம்	எந்தச் சாட்சியம்	morphology
எந்த காரணமும்	எந்தக் காரணமும்	morphology
எந்த தகவலும்	எந்தத் தகவலும்	morphology
