கன்னத்தில் எடுத்து	கன்னத்தில் அடித்து	contextual
இடுப்பு பகுதியில் அளித்து	இடுப்புப் பகுதியில் அடித்து	contextual
இடுப்பு பகுதியில்	இடுப்புப் பகுதியில்	morphology
இடுப்பு பகுதி	இடுப்புப் பகுதி	morphology
சட்ட முரணாக	சட்டத்திற்கு முரணாக	morphology
சட்ட முரண்	சட்டத்திற்கு முரண்	morphology
விறகு கட்டையை	விறகுக் கட்டையை	morphology
விறகு கட்டை	விறகுக் கட்டை	morphology
குற்ற இறுதி அறிக்கை	இறுதி அறிக்கை	register
குற்ற இறுதி அறிக்கையின்	இறுதி அறிக்கையின்	register
பேருந்து நிலையம் அருகில்	பேருந்து நிலையத்திற்கு அருகில்	morphology
காவல் நிலையம் அருகில்	காவல் நிலையத்திற்கு அருகில்	morphology
புறக்காவல் நிலையம் அருகில்	புறக்காவல் நிலையத்திற்கு அருகில்	morphology
மரண பயத்தை	மரணப் பயத்தை	morphology
மரண பயம்	மரணப் பயம்	morphology
சாதாரண காயத்தை	சாதாரணக் காயத்தை	morphology
சாதாரண காயம்	சாதாரணக் காயம்	morphology
தண்டனைக்குரிய குற்றசெயல்	தண்டனைக்குரிய குற்றச்செயல்	morphology
குற்ற செயல்களை	குற்றச் செயல்களை	morphology
குற்ற செயலை	குற்றச் செயலை	morphology
