ரவுத்திரி	இரவுத்திரி	spelling
சமூகத்தை நேரில் பார்த்த	சம்பவத்தை நேரில் பார்த்த	contextual
சமூகத்தை	சம்பவத்தை	contextual
சமூகத்தின்	சம்பவத்தின்	contextual
சமரிடம்	சம்பவயிடம்	contextual
சமரிடம் சென்று	சம்பவயிடம் சென்று	contextual
சம்பவ இட சாட்சிகள்	சம்பவயிட சாட்சிகள்	morphology
வேலூரர்	வேலு	spelling
மகஜத்	மகஜர்	spelling
பார்வை மகஜத்	பார்வை மகஜர்	spelling
கைப்பற்றுதல் மகா	கைப்பற்றுதல் மகஜர்	spelling
விறகுக் கட்டையை எடுத்து செந்தில்குமார்	விறகுக் கட்டையை எடுத்து, செந்தில்குமார்	morphology
சாட்சிகள் ஆன	சாட்சிகளான	morphology
சாட்சிகள் ஆனா	சாட்சிகளான	morphology
வாக்குமூலம் செய்து பதிவு	வாக்குமூலம் பதிவு	morphology
மட்டும் சாட்சி	மற்றும் சாட்சி	contextual
அடுத்தது பற்றி	அடித்தது பற்றி	contextual
இணை பெற்றுக் கொண்ட	புகாரினை பெற்றுக் கொண்ட	contextual
புகார் இணை பெற்றுக்	புகாரினை பெற்றுக்	contextual
குற்ற எண்	குற்ற எண்.	punctuation
மருத்துவ நம்புனார்	மருத்துவ நமூனா	spelling
நம்புனார்	நமூனா	spelling
அத மற்றும் இணைத்து	அவை மற்றும் இணைத்து	contextual
கருப்பு கோடு	கருப்புக் கோடு	morphology
அரைக்கை சட்டை	அரைக்கைச் சட்டை	morphology
