கொடுத்துள்ளர்	கொடுத்துள்ளார்	spelling
கூறியுள்ளர்	கூறியுள்ளார்	spelling
தெரிவித்துள்ளர்	தெரிவித்துள்ளார்	spelling
அளித்துள்ளர்	அளித்துள்ளார்	spelling
செய்துள்ளர்	செய்துள்ளார்	spelling
வந்துள்ளர்	வந்துள்ளார்	spelling
சென்றுள்ளர்	சென்றுள்ளார்	spelling
விடுத்துள்ளர்	விடுத்துள்ளார்	spelling
பெற்றுள்ளர்	பெற்றுள்ளார்	spelling
தாக்கல்செய்துள்ளர்	தாக்கல் செய்துள்ளார்	morphology
குறிப்பிட்டுள்ளர்	குறிப்பிட்டுள்ளார்	spelling
சமர்ப்பித்துள்ளர்	சமர்ப்பித்துள்ளார்	spelling
ஒப்புக்கொண்டுள்ளர்	ஒப்புக்கொண்டுள்ளார்	spelling
மறுத்துள்ளர்	மறுத்துள்ளார்	spelling
ஆஜராகியுள்ளர்	ஆஜராகியுள்ளார்	spelling
